time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=45, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=51, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=55, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=1, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=6, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=11, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=16, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=21, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=25, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=31, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=35, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=41, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=45, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=51, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=24, tm_sec=55, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=25, tm_sec=1, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=25, tm_sec=5, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=25, tm_sec=11, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=25, tm_sec=15, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=25, tm_sec=21, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=25, tm_sec=25, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
